May - October 2017 U.S. & Puerto Rico City Precipitation,,,,
Units: Inches,,,,
Missing: -99,,,,
Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00013876,"Birmingham, Alabama",42.6,25.43,17.17
USW00003856,"Huntsville, Alabama",31.44,24.36,7.08
USW00013894,"Mobile, Alabama",57.83,34.26,23.57
USW00013895,"Montgomery, Alabama",45.31,23.59,21.72
USW00026451,"Anchorage, Alaska",13.77,11.52,2.25
USW00027502,"Barrow, Alaska",6.02,3.66,2.36
USW00026615,"Bethel, Alaska",19.11,12.88,6.23
USW00026411,"Fairbanks, Alaska",10.28,7.94,2.34
USW00025309,"Juneau, Alaska",42.19,34.08,8.11
USW00026617,"Nome, Alaska",13.67,11.2,2.47
USW00003103,"Flagstaff, Arizona",9.16,10.72,-1.56
USW00023183,"Phoenix, Arizona",2.34,3.4,-1.06
USW00023160,"Tucson, Arizona",8.59,7.24,1.35
USW00003125,"Yuma, Arizona",0.31,1.54,-1.23
USW00013964,"Fort Smith, Arkansas",29.78,24.09,5.69
USW00013963,"Little Rock, Arkansas",20.13,22.47,-2.34
USW00024213,"Eureka, California",4.68,5.85,-1.17
USH00043257,"Fresno, California",0.37,1.45,-1.08
USW00023174,"Los Angeles, California",0.2,1.15,-0.95
USW00023232,"Sacramento, California",0.29,2.17,-1.88
USW00023188,"San Diego, California",1.01,0.96,0.05
USW00023234,"San Francisco, California",0.47,1.74,-1.27
USW00023061,"Alamosa, Colorado",7.5,4.89,2.61
USW00093037,"Colorado Springs, Colorado",15.32,12.71,2.61
USW00023066,"Grand Junction, Colorado",2.88,5.15,-2.27
USW00093058,"Pueblo, Colorado",9.62,8.81,0.81
USW00094702,"Bridgeport, Connecticut",23.33,21.99,1.34
USW00014740,"Hartford, Connecticut",28.46,25.17,3.29
USW00013781,"Wilmington, Delaware",25.96,23.3,2.66
USW00012834,"Daytona Beach, Florida",40.85,32.67,8.18
USW00012835,"Fort Myers, Florida",54.71,43.2,11.51
USW00013889,"Jacksonville, Florida",57.9,34.4,23.5
USH00084570,"Key West, Florida",27.48,27.4,0.08
USW00012839,"Miami, Florida",67.28,46.64,20.64
USW00012815,"Orlando, Florida",43.09,34.79,8.3
USH00088758,"Tallahassee, Florida",38.4,33.75,4.65
USW00012842,"Tampa, Florida",38.83,32.16,6.67
USW00012844,"West Palm Beach, Florida",46.91,40.01,6.9
USW00013874,"Atlanta, Georgia",28.59,24.67,3.92
USW00003820,"Augusta, Georgia",22.89,22.52,0.37
