Location,Average Temperature May-Oct 2017,1981-2010 Average,Anomaly
"Phoenix, Arizona",89,87.5,1.5
"Anaheim, California",71.7,69.6,2.1
"Los Angeles, California",69.4,66.7,2.7
"Oakland, California",68.5,66.5,2
"San Diego, California",70.4,68.3,2.1
"San Francisco, California",64.7,62.4,2.3
"Denver, Colorado",64.3,63.8,0.5
"Miami, Florida",82.7,81.8,0.9
"Tampa, Florida",82.4,81,1.4
"Atlanta, Georgia",74.6,74.5,0.1
"Chicago, Illinois",67.2,65.9,1.3
"Baltimore, Maryland",69.8,68.8,1
"Boston, Massachusetts",66.5,64.8,1.7
"Detroit, Michigan",66.6,65.3,1.3
"Minneapolis, Minnesota",65.4,64.3,1.1
"Kansas City, Missouri",69.7,69.8,-0.1
"St. Louis, Missouri",73.2,71.7,1.5
"Bronx, New York",69.8,68.8,1
"Queens, New York",71.2,69.8,1.4
"Cincinnati, Ohio",68.1,67.8,0.3
"Cleveland, Ohio",67,65.9,1.1
"Toronto, Ontario (Canada)",NA,NA,NA
"Philadelphia, Pennsylvania",71.3,69.8,1.5
"Pittsburgh, Pennsylvania",66.5,64.7,1.8
"Arlington, Texas",77.8,77.7,0.1
"Houston, Texas",81.4,80.2,1.2
"Seattle, Washington",62.7,61.2,1.5
"Milwaukee, Wisconsin",65.3,64,1.3
"Washington, District of Columbia",73.2,71.9,1.3
