Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00013876,"Birmingham, Alabama",74.9,74.9,0
USW00003856,"Huntsville, Alabama",74.1,74.5,-0.4
USW00013894,"Mobile, Alabama",77.3,77.1,0.2
USW00013895,"Montgomery, Alabama",77.7,77.3,0.4
USW00026451,"Anchorage, Alaska",52,51.1,0.9
USW00027502,"Barrow, Alaska",34.2,30.9,3.3
USW00026615,"Bethel, Alaska",49.1,47.7,1.4
USW00026411,"Fairbanks, Alaska",52.7,49.7,3
USW00025309,"Juneau, Alaska",51.3,51.1,0.2
USW00026617,"Nome, Alaska",44.3,43,1.3
USW00003103,"Flagstaff, Arizona",58.8,57.4,1.4
USW00023183,"Phoenix, Arizona",89,87.5,1.5
USW00023160,"Tucson, Arizona",83.5,81.6,1.9
USW00003125,"Yuma, Arizona",87.8,86.6,1.2
USW00013964,"Fort Smith, Arkansas",75.3,74.6,0.7
USW00013963,"Little Rock, Arkansas",74.1,73.9,0.2
,"Anaheim, California",71.7,69.6,2.1
USW00024213,"Eureka, California",56.8,55.7,1.1
USH00043257,"Fresno, California",77.7,75.3,2.4
USW00023174,"Los Angeles, California",69.4,66.7,2.7
,"Oakland, California",68.5,66.5,2
USW00023232,"Sacramento, California",72.5,70.4,2.1
USW00023188,"San Diego, California",70.4,68.3,2.1
USW00023234,"San Francisco, California",64.7,62.4,2.3
USW00023061,"Alamosa, Colorado",57,56.2,0.8
USW00093037,"Colorado Springs, Colorado",63.4,63,0.4
,"Denver, Colorado",64.3,63.8,0.5
USW00023066,"Grand Junction, Colorado",69,67.9,1.1
USW00093058,"Pueblo, Colorado",66.8,66.8,0
USW00094702,"Bridgeport, Connecticut",68.4,66.3,2.1
USW00014740,"Hartford, Connecticut",66.4,64.8,1.6
USW00013781,"Wilmington, Delaware",69.9,68.5,1.4
USW00012834,"Daytona Beach, Florida",79.9,78.5,1.4
USW00012835,"Fort Myers, Florida",81.7,80.6,1.1
USW00013889,"Jacksonville, Florida",78.9,77.8,1.1
USH00084570,"Key West, Florida",83.7,82.4,1.3
USW00012839,"Miami, Florida",82.7,81.8,0.9
USW00012815,"Orlando, Florida",79.8,79.5,0.3
USH00088758,"Tallahassee, Florida",78.5,77.7,0.8
USW00012842,"Tampa, Florida",82.4,81,1.4
USW00012844,"West Palm Beach, Florida",82.1,80.8,1.3
USW00013874,"Atlanta, Georgia",74.6,74.5,0.1
USW00003820,"Augusta, Georgia",77,76.3,0.7
USW00093842,"Columbus, Georgia",77.4,77.5,-0.1
USW00003813,"Macon, Georgia",75.7,75.7,0
USH00097847,"Savannah, Georgia",78.7,76.9,1.8
USC00517166,"Captain Cook, Hawaii",70.3,69.7,0.6
USW00021504,"Hilo, Hawaii",76.5,75.5,1
USW00022521,"Honolulu Intl. Airport, Hawaii",82.6,81.3,1.3
