MLB Team,Stadium Name,Seating Capacity,"City, State",State Abbreviation,Venue Score,Area Score,Total Inspections,Critical Inspections Found,Critical Score in percentage,Violations
Diamondbacks,Chase Field,48519,"Phoenix, Arizona",AZ,0.2,0.25,96,33,34.38,"[{'image': 'condition', 'date': 'Outdated food', 'copy': 'On July 26, 2017, inspectors saw a mozzarella cheese container dated June 21. The cheese was discarded at the inspectors&#39; request.'}, {'image': 'condition', 'date': 'Food contamination', 'copy': 'On April 28, 2016, inspectors found a box of raw beef stored above lettuce in a cooler, potentially contaminating the lettuce.'}, {'image': 'equipment', 'date': 'Handwashing issue', 'copy': 'On May 12, 2016, bottles of alcohol were stored in a sink that employees were supposed to use to wash their hands.'}]"
Padres,Petco Park,40162,"San Diego, California",CA,0.09,0.09,168,28,16.67,"[{'image': 'temperature', 'date': 'Food too warm', 'copy': 'On a Sept. 6, 2017, follow-up investigation in the main kitchen, raw shrimp and pico de gallo remained stored in a cooler at about 50 degrees, a day after the same items were reported not kept cold enough.'}, {'image': 'pests', 'date': 'Bird droppings', 'copy': 'On Aug. 18, 2016, an inspector found bird droppings on top of an ice bin.'}, {'image': 'pests', 'date': 'Rodent droppings', 'copy': 'On Sept. 20, 2016, an inspector found rodent droppings on the floor and on top of the ice machine at a concession stand, which was voluntarily closed for the rest of the season.'}]"
Angels,Angel Stadium,45050,"Anaheim, California",CA,0.17,0.46,134,26,19.4,"[{'image': 'pests', 'date': 'Live roaches', 'copy': 'On Aug. 4, 2016, inspectors closed a facility after finding &#34;live cockroaches of all life cycles&#34; under the drain board at a dish machine, on casters of a reach-in cooler, behind the double oven and between a wall and fiberglass panel near a dish machine. Inspectors also found cooked chicken wings and chicken breasts being held at 92 and 107 degrees; safe is considered 135 degrees or higher.'}, {'image': 'employee', 'date': 'Handwashing issues', 'copy': 'On Aug. 9, 2017, inspectors noticed employees not washing their hands after touching their faces and someone blowing his or her nose with gloves on.'}, {'image': 'equipment', 'date': 'Handwashing issues', 'copy': 'On the same day, inspectors noticed that there was no running water at a hand sink, and an employee handling food products with long, artificial nails and no gloves.'}]"
Athletics,Oakland-Alameda County Coliseum,63024,"Oakland, California",CA,0.18,1.32,119,27,22.69,"[{'image': 'employee', 'date': 'Handwashing issues', 'copy': 'On Oct. 19, 2017, inspectors observed employees who did not wash their hands properly.'}, {'image': 'pests', 'date': 'Signs of rodents', 'copy': 'On Sept. 23, 2016, inspectors found signs of rodents.'}, {'image': 'equipment', 'date': 'Unclean utensils', 'copy': 'On July 19, 2017, inspectors found unclean equipment and utensils.'}]"
Giants,AT&T Park,41915,"San Francisco, California",CA,0.1,0.25,162,40,24.69,"[{'image': 'equipment', 'date': 'No running water', 'copy': 'On Sept. 19, 2017, there was no running water at one concession stand, making it impossible for employees to wash their hands.'}, {'image': 'pests', 'date': 'Vermin risk', 'copy': 'On April 24, 2017, inspectors identified a moderate &#34;vermin risk&#34; in the vending room.'}, {'image': 'temperature', 'date': 'Food unsafe temp', 'copy': 'On Oct. 11, 2016, food was not at the proper holding temperature -- a high-risk violation.'}]"
Dodgers,Dodger Stadium,56000,"Los Angeles, California",CA,0.29,0.96,191,61,31.94,"[{'image': 'pests', 'date': 'Multiple problems', 'copy': 'On Aug. 11, 2017, inspectors noted problems with adequate equipment, pests, hand washing, food temperatures, food storage and cleanliness at one location, noting an &#34;increased risk to public health.&#34;'}, {'image': 'condition', 'date': 'Unclean areas', 'copy': 'On Aug. 25, 2017, inspectors noted issues with the cleanliness of food-contact surfaces as well as proper food storage.'}, {'image': 'employee', 'date': 'Personal cleanliness', 'copy': 'On July 26, 2017, inspectors noted issues with hand washing and proper glove use, as well as personal cleanliness and hair restraints.'}]"
Rockies,Coors Field,50144,"Denver, Colorado",CO,1.14,1.5,107,77,71.96,"[{'image': 'pests', 'date': 'Mouse feces', 'copy': 'On Sept. 12, 2016, inspectors found &#34;thousands of accumulated mouse feces. &#34; Twelve to 15 plastic bags of chips and chocolate chips had open chew holes from mice. &#34;One deceased mouse was directly next to the hot water heater; one live mouse inside of pest device near the popcorn area; thousands of pest feces throughout the facility; and evidence of nesting observed at facility.&#34;'}, {'image': 'pests', 'date': 'Live cockroaches', 'copy': 'On Sept. 26, 2016, in a follow-up visit, inspectors found &#34;five live medium-sized cockroaches&#34; stuck on a sticky pad inside of a metal trap box in the dry storage room area. One live large cockroach was underneath a sink in the food preparation area. One live mouse was inside of a commercial-sized bag with Cracker Jacks. There were 30 to 40 &#34;small winged insects&#34; flying near the beer drain and surrounding pipes. Inspectors found 10 mouse droppings on piping in the front food area.'}, {'image': 'employee', 'date': 'Employee eating food', 'copy': 'On Aug. 17, 2017, inspectors responded to a foodborne illness complaint from a customer who had eaten kettle corn. During their visit, inspectors found an employee eating straight out of the kettle corn hopper using his gloved hands. Inspectors then observed him scooping kettle corn for a customer without removing his gloves or washing his hands.'}]"
Nationals,Nationals Park,41546,"Washington, District of Columbia",DC,0.28,0,27,14,51.85,"[{'image': 'condition', 'date': 'Chip containers with grease', 'copy': 'On April 4, 2017, chip containers with grease and food debris in them were sitting out, and storage racks had grease and food on them.'}, {'image': 'equipment', 'date': 'Mold in ice machine', 'copy': 'On Sept. 4, 2016, inspectors observed light mold on a panel on the ice machine. An employee cleaned it.'}, {'image': 'temperature', 'date': 'Sauce too warm', 'copy': 'On April 4, 2017, a sauce labeled from the previous day was being held at 65 degrees; cold foods should be at 41 degrees or less, and hot foods should be at 135 degrees or more to prevent foodborne illness.'}]"
Marlins,Marlins Park,37442,"Miami, Florida",FL,0.13,1.07,21,3,14.29,"[{'image': 'temperature', 'date': 'Incorrect temperature', 'copy': 'On April 14, 2017, unspecified food items did not meet temperature requirements.'}, {'image': 'employee', 'date': 'Improper attire worn', 'copy': 'On July 27, 2016, not all employees met requirements for wearing clean clothes, covering their hair, not wearing jewelry and not having artificial or painted fingernails.'}]"
Rays,Tropicana Field,31042,"St. Petersburg, Florida",FL,0.4,1.07,79,25,31.65,"[{'image': 'employee', 'date': 'Various food prep issues', 'copy': 'Inspectors issued a warning and noted six high-priority violations and 16 other violations after the inspection of a concession stand on April 5, 2017. The violations pertained to using approved food sources, food temperature, accuracy of thermometers, proper thawing of food, food protection, cross-contamination, handwashing and other employee hygiene, cleanliness of food surfaces, dishwashing facilities, chemicals/toxic substances, and having a valid food management certificate, among others.'}, {'image': 'equipment', 'date': 'Various food prep issues', 'copy': 'In an April 5, 2017, inspection, inspectors issued a warning and noted 25 violations, including two high-priority ones, in a kitchen. The violations pertained to using approved food sources, proper temperature, food protection, cross-contamination, handwashing and other employee hygiene, along with a variety of items pertaining to equipment and facility standards.'}]"
Braves,SunTrust Park,41149,"Atlanta, Georgia",GA,0.34,0.78,83,28,33.73,"[{'image': 'temperature', 'date': 'Food too warm', 'copy': 'During a May 25, 2017, visit, inspectors ordered raw chicken to be discarded after finding it stored at 50 degrees in a prep unit. Potentially hazardous cold-held foods must be maintained at 41 degrees or lower.'}, {'image': 'employee', 'date': 'Employee eating issues', 'copy': 'In an inspection of a location that served ice cream on May 25, 2017, inspectors saw an employee handling money and then preparing ice cream treats without washing her hands. The inspectors also noted that she was putting candy in her mouth. Hot and cold water were not available at the hand sink. Inspectors told the employee to stop selling exposed foods that needed preparation and to only sell prepackaged foods until the handwashing station was supplied with water.'}, {'image': 'employee', 'date': 'Handwashing issues', 'copy': 'At a different location on the same date, inspectors saw employees not washing their hands at appropriate times. Inspectors found employees going from wiping counters, mopping floors, or washing dishes to preparing or handling exposed food and/or clean equipment.'}]"
Cubs,Wrigley Field,42495,"Chicago, Illinois",IL,0.31,0.2,26,8,30.77,"[{'image': 'condition', 'date': 'Issue with tongs', 'copy': 'At a food service outlet on June 21, 2017, inspectors saw the same tongs used to handle both raw and cooked shellfish, which posed a risk for cross-contamination.'}, {'image': 'temperature', 'date': 'Food at incorrect temperatures', 'copy': 'During an inspection on June 21, 2017, inspectors found foods held at temperatures either too high or too low to prevent contamination, including 10 pounds of potato salad at 50 degrees and five pounds of Italian beef at 115 degrees.'}, {'image': 'equipment', 'date': 'No sanitizer', 'copy': 'On April 29, 2016, inspectors found dishwashing facilities not set up properly and no chemical sanitizer at the three-compartment sink in the food prep area.'}]"
White Sox,Guaranteed Rate Field,40615,"Chicago, Illinois",IL,0.57,0.2,68,38,55.88,"[{'image': 'temperature', 'date': 'Hot and brats at wrong temps', 'copy': 'At one concession stand on May 25, 2016, inspectors found hot dogs and bratwurst at improper temperatures in the walk-in cooler. Thirty pounds of food, at a value of $100, was discarded.'}, {'image': 'employee', 'date': 'Food-handling issues', 'copy': 'During a kitchen inspection on June 15, 2017, a food handler was observed wiping gloved hands on a dirty towel attached to his apron while preparing food.'}, {'image': 'temperature', 'date': 'Food at wrong temperatures', 'copy': 'At a concession stand on the same day, inspectors found cheese, mango salsa, tomatoes, mayonnaise and green chili sauce at improper temperatures.'}]"
Red Sox,Fenway Park,37755,"Boston, Massachusetts",MA,0.09,0.62,58,10,17.24,"[{'image': 'pests', 'date': 'Fruit flies', 'copy': 'At one location on Sept. 13, 2016, inspectors noted a need to address a fruit fly issue at the front counter and back area.'}, {'image': 'temperature', 'date': 'Food too warm', 'copy': 'On Sept. 14, 2017, a manager discarded sandwiches found to be 58 degrees when they should have been at safe temperatures, 41 degrees or less. Inspectors also found that the interior of the ice machine was soiled.'}, {'image': 'temperature', 'date': 'Food too warm', 'copy': 'During an inspection of a food service outlet on Sept. 13, 2016, inspectors found tomatoes, onion mix and coleslaw at 52 to 55 degrees, when they should have been at or below 41.'}]"
Orioles,Oriole Park at Camden Yards,45971,"Baltimore, Maryland",MD,0.1,0.55,96,15,15.63,"[{'image': 'pests', 'date': 'Rodent activities', 'copy': 'During an inspection of the commissary on March 21, 2017, inspectors found evidence of &#34;rodent activities throughout [the] entire warehouse.&#34; Inspectors mandated that a pest control service must be called to correct the violation within one week.'}, {'image': 'equipment', 'date': 'Lack of running water', 'copy': 'All of the food service locations that received critical violations had issues with a lack of running water, specifically hot water, or an inoperable/broken sink.'}]"
Tigers,Comerica Park,41083,"Detroit, Michigan",MI,0.53,0.7,52,21,40.38,"[{'image': 'temperature', 'date': 'Food too warm', 'copy': 'Inspectors found chicken salad and tomatoes at 55 degrees and potato salad and pasta salad at 45 degrees at the Press Box Lounge salad bar on April 13, 2017. Cold foods are to be kept at 41 degrees or less.'}, {'image': 'employee', 'date': 'Handwashing issue', 'copy': 'Inspectors responded to a complaint from a customer who said that on June 16, 2017, while in the restroom she saw a female employee of concession stand exit the restroom without washing her hands, and she followed that same employee back to the concession stand and observed her working with bare, unwashed hands. She stated that the employee was putting pizza toppings in a stainless steel container.'}, {'image': 'condition', 'date': 'Out-of-date food', 'copy': 'On April 12, 2016, inspectors found raw beef over cooked ground beef, which holds a potential for contamination. And on June 8, 2017, inspectors found two, 3-pound containers of sour cream with a use-by date of May 3, 2017.'}]"
Twins,Target Field,39504,"Minneapolis, Minnesota",MN,0.61,0,113,57,50.44,"[{'image': 'pests', 'date': 'Rodents and insects', 'copy': 'Inspectors cited the main commissary on June 21, 2017, for failing to ensure that insects, rodents and other pests were controlled. It was among 10 violations noted during the inspection.'}, {'image': 'temperature', 'date': 'Food temperature issues', 'copy': 'Inspectors cited the S620 Carew Buffet for hot foods not being hot enough and cold foods not being cold enough, as well as failing to ensure that food was not served after being held for four hours on June 21, 2017.'}, {'image': 'employee', 'date': 'Handwashing issues', 'copy': 'Inspectors cited a concession stand for employees failing to properly wash their hands on June 16, 2016.'}]"
