Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,Home,Road
1,Dodgers,NL,162,104,58,0.642,4.8,3.6,1.2,57-24,47-34
2,Indians,AL,162,102,60,0.63,5,3.5,1.6,49-32,53-28
3,Astros,AL,162,101,61,0.624,5.5,4.3,1.2,48-33,53-28
4,Nationals,NL,162,97,65,0.599,5.1,4.1,0.9,47-34,50-31
5,Red Sox,AL,162,93,69,0.574,4.8,4.1,0.7,48-33,45-36
6,Diamondbacks,NL,162,93,69,0.574,5,4.1,0.9,52-29,41-40
7,Cubs,NL,162,92,70,0.568,5.1,4.3,0.8,48-33,44-37
8,Yankees,AL,162,91,71,0.562,5.3,4.1,1.2,51-30,40-41
9,Rockies,NL,162,87,75,0.537,5.1,4.7,0.4,46-35,41-40
10,Brewers,NL,162,86,76,0.531,4.5,4.3,0.2,46-38,40-38
11,Twins,AL,162,85,77,0.525,5,4.9,0.2,41-40,44-37
12,Cardinals,NL,162,83,79,0.512,4.7,4.4,0.3,44-37,39-42
13,Angels,AL,162,80,82,0.494,4.4,4.4,0,43-38,37-44
14,Royals,AL,162,80,82,0.494,4.3,4.9,-0.5,43-38,37-44
15,Rays,AL,162,80,82,0.494,4.3,4.3,-0.1,42-39,38-43
16,Mariners,AL,162,78,84,0.481,4.6,4.8,-0.1,40-41,38-43
17,Rangers,AL,162,78,84,0.481,4.9,5,-0.1,41-40,37-44
18,Marlins,NL,162,77,85,0.475,4.8,5.1,-0.3,42-36,35-49
19,Blue Jays,AL,162,76,86,0.469,4.3,4.8,-0.6,42-39,34-47
20,Pirates,NL,162,75,87,0.463,4.1,4.5,-0.4,44-37,31-50
21,Athletics,AL,162,75,87,0.463,4.6,5.1,-0.5,46-35,29-52
22,Orioles,AL,162,75,87,0.463,4.6,5.2,-0.6,46-35,29-52
23,Braves,NL,162,72,90,0.444,4.5,5.1,-0.5,37-44,35-46
24,Padres,NL,162,71,91,0.438,3.7,5,-1.3,43-38,28-53
25,Mets,NL,162,70,92,0.432,4.5,5.3,-0.8,37-44,33-48
26,Reds,NL,162,68,94,0.42,4.6,5.4,-0.7,39-42,29-52
27,White Sox,AL,162,67,95,0.414,4.4,5.1,-0.7,39-42,28-53
28,Phillies,NL,162,66,96,0.407,4.3,4.8,-0.6,39-42,27-54
29,Tigers,AL,162,64,98,0.395,4.5,5.5,-1,34-47,30-51
30,Giants,NL,162,64,98,0.395,3.9,4.8,-0.8,38-43,26-55
,Avg,,,81,81,0.5,4.6,4.6,,43-37,37-43
